early_frac,help_cutoff,label_alpha,feature,n_labeled_cases,n_helps,n_not_helps,helps_median,not_helps_median,u_stat,p_value,a12,p_bh,significant_bh,signal
0.1,0.56,0.05,spea2_turnover_early,51,41,10,0.2969696969696969,0.2618686868686869,327.0,0.003944183586488591,0.7975609756097561,0.07099530455679463,False,RAW-SIG
0.1,0.56,0.05,ivf_turnover_early,51,41,10,0.2866666666666667,0.2573484848484848,307.0,0.016036184165118955,0.748780487804878,0.10964728400858294,False,RAW-SIG
0.1,0.56,0.05,ivf_cycles_early,51,41,10,1.878787878787879,1.8813131313131315,110.5,0.018274547334763823,0.26951219512195124,0.10964728400858294,False,RAW-SIG
0.1,0.56,0.05,hv_final_delta,51,41,10,0.0002337963417908,-3.960789093095e-05,298.0,0.028194768295381784,0.7268292682926829,0.12687645732921804,False,RAW-SIG
0.1,0.56,0.05,igd_final_delta,51,41,10,0.0001844781810679,1.3126234337899804e-05,281.0,0.07325477562123794,0.6853658536585366,0.2637171922364566,False,WEAK
0.1,0.56,0.05,ivf_fitness_early,51,41,10,9.126536931181564,3.3225350876064796,274.0,0.10412743815238627,0.6682926829268293,0.3123823144571588,False,
0.1,0.56,0.05,spea2_fitness_early,51,41,10,11.002686473759692,4.363189417358521,269.0,0.13192868957194565,0.6560975609756098,0.33924520175643164,False,
0.1,0.56,0.05,ivf_nd_early,51,41,10,0.8712121212121211,0.9246212121212122,154.0,0.23086199722091294,0.375609756097561,0.48588156365603064,False,
0.1,0.56,0.05,spacing_ratio,51,41,10,0.7963149397225217,0.8989571921562568,158.0,0.26993420203112817,0.3853658536585366,0.48588156365603064,False,
0.1,0.56,0.05,spea2_nd_early,51,41,10,0.8388888888888889,0.8974494949494949,158.0,0.26993420203112817,0.3853658536585366,0.48588156365603064,False,
0.1,0.56,0.05,nd_delta,51,41,10,0.0290909090909091,0.015909090909090852,248.0,0.3132818663808429,0.6048780487804878,0.5126430540777429,False,
0.1,0.56,0.05,igd_early_delta,51,41,10,0.0318010167550639,0.017085908062354598,242.0,0.386510040411604,0.5902439024390244,0.5772565284833053,False,
0.1,0.56,0.05,turnover_delta,51,41,10,0.0035858585858585,-0.0044949494949494,235.0,0.483996932627765,0.573170731707317,0.5772565284833053,False,
0.1,0.56,0.05,ivf_spacing_early,51,41,10,0.0359901761220271,0.0535536728087165,177.0,0.514118371457083,0.4317073170731707,0.5772565284833053,False,
0.1,0.56,0.05,spea2_spacing_early,51,41,10,0.0441614235817535,0.055031068209121854,177.0,0.514118371457083,0.4317073170731707,0.5772565284833053,False,
0.1,0.56,0.05,turnover_ratio,51,41,10,1.00976015320157,0.9793514575048852,232.0,0.5295366981866592,0.5658536585365853,0.5772565284833053,False,
0.1,0.56,0.05,fitness_delta,51,41,10,1.9698945184099483,0.8958690839934292,231.0,0.545186721345344,0.5634146341463414,0.5772565284833053,False,
0.1,0.56,0.05,hv_early_delta,51,41,10,0.0086688262089527,0.0071972727780502,220.0,0.7306314058713634,0.5365853658536586,0.7306314058713634,False,
0.1,0.58,0.05,spea2_turnover_early,51,41,10,0.2969696969696969,0.2618686868686869,327.0,0.003944183586488591,0.7975609756097561,0.07099530455679463,False,RAW-SIG
0.1,0.58,0.05,ivf_turnover_early,51,41,10,0.2866666666666667,0.2573484848484848,307.0,0.016036184165118955,0.748780487804878,0.10964728400858294,False,RAW-SIG
0.1,0.58,0.05,ivf_cycles_early,51,41,10,1.878787878787879,1.8813131313131315,110.5,0.018274547334763823,0.26951219512195124,0.10964728400858294,False,RAW-SIG
0.1,0.58,0.05,hv_final_delta,51,41,10,0.0002337963417908,-3.960789093095e-05,298.0,0.028194768295381784,0.7268292682926829,0.12687645732921804,False,RAW-SIG
0.1,0.58,0.05,igd_final_delta,51,41,10,0.0001844781810679,1.3126234337899804e-05,281.0,0.07325477562123794,0.6853658536585366,0.2637171922364566,False,WEAK
0.1,0.58,0.05,ivf_fitness_early,51,41,10,9.126536931181564,3.3225350876064796,274.0,0.10412743815238627,0.6682926829268293,0.3123823144571588,False,
0.1,0.58,0.05,spea2_fitness_early,51,41,10,11.002686473759692,4.363189417358521,269.0,0.13192868957194565,0.6560975609756098,0.33924520175643164,False,
